tweet_id,favorites,retweets,timestamp
862831371563274240,17127,4429,Fri May 12 00:46:44 +0000 2017
862722525377298433,15233,3062,Thu May 11 17:34:13 +0000 2017
862457590147678208,18156,4217,Thu May 11 00:01:27 +0000 2017
862096992088072192,65793,19856,Wed May 10 00:08:34 +0000 2017
861383897657036800,32078,9199,Mon May 08 00:54:59 +0000 2017
861288531465048066,15263,3564,Sun May 07 18:36:02 +0000 2017
861005113778896900,14906,3311,Sat May 06 23:49:50 +0000 2017
860981674716409858,0,1843,Sat May 06 22:16:42 +0000 2017
860924035999428608,0,673,Sat May 06 18:27:40 +0000 2017
860563773140209665,6678,1843,Fri May 05 18:36:06 +0000 2017
860524505164394496,21117,4574,Fri May 05 16:00:04 +0000 2017
860276583193509888,16473,3047,Thu May 04 23:34:55 +0000 2017
860184849394610176,14927,5087,Thu May 04 17:30:24 +0000 2017
860177593139703809,0,26525,Thu May 04 17:01:34 +0000 2017
859924526012018688,17502,3563,Thu May 04 00:15:58 +0000 2017
859851578198683649,13908,3050,Wed May 03 19:26:06 +0000 2017
859607811541651456,16723,1354,Wed May 03 03:17:27 +0000 2017
859196978902773760,79908,26102,Tue May 02 00:04:57 +0000 2017
859074603037188101,30216,11890,Mon May 01 15:58:40 +0000 2017
858860390427611136,0,7025,Mon May 01 01:47:28 +0000 2017
858843525470990336,14040,3011,Mon May 01 00:40:27 +0000 2017
858471635011153920,19369,4227,Sun Apr 30 00:02:42 +0000 2017
858107933456039936,14137,2525,Fri Apr 28 23:57:28 +0000 2017
857989990357356544,14409,2252,Fri Apr 28 16:08:49 +0000 2017
857746408056729600,30602,9283,Fri Apr 28 00:00:54 +0000 2017
857393404942143489,5278,1433,Thu Apr 27 00:38:11 +0000 2017
857263160327368704,18160,3951,Wed Apr 26 16:00:39 +0000 2017
857214891891077121,202,16,Wed Apr 26 12:48:51 +0000 2017
857062103051644929,0,145,Wed Apr 26 02:41:43 +0000 2017
857029823797047296,16949,3465,Wed Apr 26 00:33:27 +0000 2017
856543823941562368,14743,2528,Mon Apr 24 16:22:16 +0000 2017
856526610513747968,10774,1644,Mon Apr 24 15:13:52 +0000 2017
856288084350160898,485,15,Sun Apr 23 23:26:03 +0000 2017
856282028240666624,25077,5547,Sun Apr 23 23:01:59 +0000 2017
855862651834028034,299,21,Sat Apr 22 19:15:32 +0000 2017
855860136149123072,4384,849,Sat Apr 22 19:05:32 +0000 2017
855857698524602368,10811,1850,Sat Apr 22 18:55:51 +0000 2017
855851453814013952,41702,16041,Sat Apr 22 18:31:02 +0000 2017
855818117272018944,24168,4784,Sat Apr 22 16:18:34 +0000 2017
855459453768019968,26960,7267,Fri Apr 21 16:33:22 +0000 2017
855245323840757760,0,5229,Fri Apr 21 02:22:29 +0000 2017
855138241867124737,0,36,Thu Apr 20 19:16:59 +0000 2017
854732716440526848,20557,5307,Wed Apr 19 16:25:34 +0000 2017
854482394044301312,26409,5981,Tue Apr 18 23:50:52 +0000 2017
854365224396361728,17109,4127,Tue Apr 18 16:05:17 +0000 2017
854120357044912130,29042,6555,Mon Apr 17 23:52:16 +0000 2017
854010172552949760,14764,2776,Mon Apr 17 16:34:26 +0000 2017
853760880890318849,25936,5093,Mon Apr 17 00:03:50 +0000 2017
853639147608842240,31356,8812,Sun Apr 16 16:00:07 +0000 2017
853299958564483072,14077,3152,Sat Apr 15 17:32:18 +0000 2017
852936405516943360,0,1781,Fri Apr 14 17:27:40 +0000 2017
852912242202992640,8207,1587,Fri Apr 14 15:51:39 +0000 2017
852672615818899456,13578,1898,Thu Apr 13 23:59:28 +0000 2017
852553447878664193,14802,3093,Thu Apr 13 16:05:56 +0000 2017
852311364735569921,30207,8814,Thu Apr 13 00:03:59 +0000 2017
852226086759018497,18257,6053,Wed Apr 12 18:25:07 +0000 2017
852189679701164033,10527,1410,Wed Apr 12 16:00:27 +0000 2017
851591660324737024,14875,3105,Tue Apr 11 00:24:08 +0000 2017
851464819735769094,22161,6273,Mon Apr 10 16:00:07 +0000 2017
851224888060895234,18926,5138,Mon Apr 10 00:06:42 +0000 2017
850753642995093505,27958,8031,Sat Apr 08 16:54:09 +0000 2017
850380195714523136,12003,2317,Fri Apr 07 16:10:12 +0000 2017
850333567704068097,3174,301,Fri Apr 07 13:04:55 +0000 2017
850145622816686080,14955,3373,Fri Apr 07 00:38:06 +0000 2017
850019790995546112,18671,4338,Thu Apr 06 16:18:05 +0000 2017
